farm_id,zone,area_ha,lat,lon
F_1000,Kuttanad,11.1833897407632,9.23347997458186,76.0049110855907
F_1001,Palakkad,14.2764138232451,10.8734709923156,76.5949125488987
F_1002,Highlands,16.965770785464,9.23188578221016,76.4713316810085
F_1003,Coastal,22.6297151471954,12.0432725757593,77.0202148972312
F_1004,Kuttanad,11.8677755328827,9.1674502490554,76.1094519072212
F_1005,Palakkad,17.3699945549015,9.36802641102113,76.6974874167936
F_1006,Highlands,11.2122362700757,9.39962393403985,76.7403631237103
F_1007,Coastal,19.9636749003548,12.0921450901311,77.3852653679205
F_1008,Kuttanad,24.4279291050043,8.53003780823201,77.4049561774591
F_1009,Palakkad,22.1476588305086,10.1630451478064,77.3719606884988
F_1010,Highlands,16.4219508611131,11.6740288636414,77.0476412967546
F_1011,Coastal,24.3717285140883,9.35993295703083,76.3282808653312
F_1012,Kuttanad,19.4674260343891,11.9202454877552,76.5529297720641
F_1013,Palakkad,17.5636764348019,11.6981050096918,76.904404522269
F_1014,Highlands,15.4163332225289,11.2201864886563,77.0926134797046
F_1015,Coastal,15.0883314909879,12.4123949174071,77.0724186432781
F_1016,Kuttanad,24.218599179294,11.6883838184876,76.4364932776662
F_1017,Palakkad,18.9720565557946,11.8151094048051,76.948570790817
F_1018,Highlands,23.6171992577147,10.263795167231,76.2530000617262
F_1019,Coastal,10.5961165286135,10.5379191363929,76.6438698794227
F_1020,Kuttanad,11.1053547251504,8.96412608197425,76.4324698062846
F_1021,Palakkad,12.8905074356589,9.68309480785392,76.0889226566069
F_1022,Highlands,14.7788983851206,12.0215552058304,76.7448593057925
F_1023,Coastal,14.2241221398581,11.0840315436246,76.2487641311018
F_1024,Kuttanad,22.7781003387645,10.4400952028111,77.0477526667528
F_1025,Palakkad,17.6626318600029,10.9877200433053,76.2898255059263
F_1026,Highlands,23.5529661423061,11.8462566680275,76.2051787825767
F_1027,Coastal,12.4758209835272,9.84040291269775,76.8435951792635
F_1028,Kuttanad,11.359338077018,11.5373237411957,76.6805572747253
F_1029,Palakkad,19.6108273498248,11.4810946997488,76.5637404853478
F_1030,Highlands,22.8998520120513,11.6567308538826,77.3016756256111
F_1031,Coastal,10.6854948820546,9.77560136273969,77.3039352983469
F_1032,Kuttanad,10.3443577548023,9.26092768369708,76.6730083797593
F_1033,Palakkad,15.4665130923968,10.800031659822,76.3655620364007
F_1034,Highlands,22.1868566609919,9.29126317033078,77.0120783145539
F_1035,Coastal,23.2609115052037,9.64825188817922,76.9362445665756
F_1036,Kuttanad,11.7116223392077,9.15634027370252,77.4489211294567
F_1037,Palakkad,11.8655635835603,10.4771276966669,76.3559383315733
F_1038,Highlands,14.963720862288,12.2687604004517,76.3576651108451
F_1039,Coastal,20.7219219848048,9.89754100122955,76.3447196598863
F_1040,Kuttanad,12.8717121738009,9.30254774878267,76.304802178056
F_1041,Palakkad,11.1472238751594,11.6051191148581,76.7488426145865
F_1042,Highlands,12.5013092299923,11.8328991032904,77.3226699761581
F_1043,Coastal,23.0565096391365,10.0279651039978,77.3905252318364
F_1044,Kuttanad,15.1374710025266,12.265851326636,76.8788789487444
F_1045,Palakkad,19.0977800951805,10.9418512318516,77.1966222258052
F_1046,Highlands,18.6481599975377,8.43868340889458,77.2902454051655
F_1047,Coastal,24.1302800748963,9.44246908558998,77.1811853351537
F_1048,Kuttanad,20.5229350621812,9.46083683979232,77.0244451201288
F_1049,Palakkad,12.4467790371273,10.1996456654277,77.4469547712943
F_1050,Highlands,22.8575817705132,10.2420432988089,76.1925601423718
F_1051,Coastal,15.5511941330042,10.2354200911941,76.6574513586238
F_1052,Kuttanad,11.2834217585623,10.5308229006827,76.6040236692643
F_1053,Palakkad,19.8717479035258,10.2546622947091,77.4553685644642
F_1054,Highlands,13.5250952863134,8.68655584231019,77.4442869648337
F_1055,Coastal,16.3419954676647,8.6690935430117,76.2042318817694
F_1056,Kuttanad,20.060321156634,10.4273295307998,76.1264610113576
F_1057,Palakkad,14.8755514796358,11.4291020902572,76.8058956345776
F_1058,Highlands,16.492589074187,11.3579684988596,76.9283407095354
F_1059,Coastal,23.6576073861215,11.7667293858016,76.5278764845571
F_1060,Kuttanad,10.7064193359111,11.8676496095024,76.2673522474943
F_1061,Palakkad,20.0466316228267,9.28270039306954,76.4729134652298
F_1062,Highlands,12.1549177390989,12.1484042780241,76.7110464031575
F_1063,Coastal,20.7026876998134,11.0350128772203,76.9813526505604
F_1064,Kuttanad,20.9968216635752,8.84630103339441,76.618166577071
F_1065,Palakkad,12.4234516557772,9.82880880145822,77.4245692228433
F_1066,Highlands,18.5313815204427,9.90724647771567,76.0713276130846
F_1067,Coastal,22.8924469498452,10.0840883312281,76.6358596553328
F_1068,Kuttanad,14.0613671846222,9.39834725018591,76.4935961553128
F_1069,Palakkad,21.5394692111295,8.46445347305853,76.6126280725002
F_1070,Highlands,21.1978354107123,8.40402370095253,76.561825167737
F_1071,Coastal,23.4330236294772,10.1166150368284,76.5081946398132
F_1072,Kuttanad,11.2362205341924,9.81931585837156,76.4857579041272
F_1073,Palakkad,22.4338697444182,10.5464835193008,76.6164767225273
F_1074,Highlands,23.3405563456472,10.9828434298979,77.4646310232347
F_1075,Coastal,20.8414587471634,11.7390204335796,76.8656330065569
F_1076,Kuttanad,24.9043598410208,12.1560491007753,77.387288615806
F_1077,Palakkad,16.5465893386863,12.0186878520995,77.1902650153497
F_1078,Highlands,10.8564089145511,11.3715230856091,76.9683400032809
F_1079,Coastal,17.9548307671212,12.2134339119075,77.4492994927568
F_1080,Kuttanad,12.8322842041962,9.20822154849302,76.4207539543277
F_1081,Palakkad,24.7631666646339,11.6970813469263,76.3916532015428
F_1082,Highlands,19.1875824297313,11.6240239903331,77.1611349300947
F_1083,Coastal,24.5262522413395,9.93367256501224,77.283354460611
F_1084,Kuttanad,12.7142445859499,10.797448036843,77.3135631476762
F_1085,Palakkad,12.5639291049447,10.0416429933393,76.8782040564111
F_1086,Highlands,24.3838176876307,9.85099225377198,76.2476627141004
F_1087,Coastal,24.946408898104,8.62265334471595,76.3554336236557
F_1088,Kuttanad,23.5029680619482,8.48435028402601,77.155016073375
